Date,Close
2024-04-30,164.64
2024-04-29,167.9
2024-04-26,173.69
2024-04-25,157.95
2024-04-24,161.1
2024-04-23,159.92
2024-04-22,157.95
2024-04-19,155.72
2024-04-18,157.46
2024-04-17,156.88
2024-04-16,156.0
2024-04-15,156.33
2024-04-12,159.19
2024-04-11,160.79
2024-04-10,157.66
2024-04-09,158.14
2024-04-08,156.14
2024-04-05,153.94
2024-04-04,151.94
2024-04-03,156.37
2024-04-02,155.87
2024-04-01,156.5
2024-05-31,173.96
2024-01-31,141.8
2024-05-30,173.56
2024-01-30,153.05
2024-05-29,177.4
2024-01-29,154.84
2024-05-28,178.02
2024-01-26,153.79
2024-01-25,153.64
2024-05-24,176.33
2024-01-24,150.35
2024-05-23,175.06
2024-01-23,148.68
2024-05-22,178.0
2024-01-22,147.71
2024-05-21,179.54
2024-05-20,178.46
2024-01-19,147.97
2024-01-18,144.99
2024-05-17,177.29
2024-01-17,142.89
2024-05-16,175.43
2024-01-16,144.08
2024-05-15,173.88
2024-05-14,171.93
2024-05-13,170.9
2024-01-12,144.24
2024-05-10,170.29
2024-05-09,171.58
2024-05-08,171.16
2024-05-07,172.98
2024-05-06,169.83
2024-05-03,168.99
2024-05-02,168.46
2024-05-01,165.57
2024-02-29,139.78
2024-02-28,137.43
2024-02-27,140.1
2024-02-26,138.75
2024-02-23,145.29
2024-02-22,145.32
2024-02-21,143.84
2024-02-20,142.2
2024-02-16,141.76
2024-02-15,143.94
2024-02-14,147.14
2024-02-13,146.37
2024-02-12,148.73
2024-02-09,150.22
2024-02-08,147.22
2024-02-07,146.68
2024-02-06,145.41
2024-06-05,177.07
2024-02-05,144.93
2024-06-04,175.13
2024-06-03,174.42
2024-02-02,143.54
2024-02-01,142.71
2024-03-28,152.26
2024-03-27,151.94
2024-03-26,151.7
2024-03-25,151.15
2024-03-22,151.77
2024-03-21,148.74
2024-03-20,149.68
2024-03-19,147.92
2024-03-18,148.48
2024-03-15,142.17
2024-03-14,144.34
2024-03-13,140.77
2024-03-12,139.62
2024-03-11,138.94
2024-03-08,136.29
2024-03-07,135.24
2024-03-06,132.56
2024-03-05,133.78
2024-03-04,134.2
2024-03-01,138.08
